arbitro,label_encoded
 Alex Gomes Stefano,0
 Anderson Daronco,1
 Anderson Ribeiro Gonçalves,2
 André Luiz Skettino Policarpo Bento,3
 Arthur Gomes Rabelo,4
 Braulio da Silva Machado,5
 Bruno Arleu de Araújo,6
 Bruno Mota Correia,7
 Bruno Pereira Vasconcelos,8
 Caio Max Augusto Vieira,9
 Davi de Oliveira Lacerda,10
 Denis Ribeiro Serafim,11
 Edina Alves Batista,12
 Emerson Ricardo,13
 Felipe Fernandes,14
 Flavio Rodrigues de Souza,15
 Fábio Augusto Santos Sá Júnior,16
 Gustavo Ervino Bauermann,17
 Jefferson Ferreira Moraes,18
 Jonathan Benkenstein Pinheiro,19
 João Vitor Gobi,20
 Kleber Ariel Gonçalves da Silva,21
 Lucas Paulo Torezin,22
 Luciano da Silva Miranda Filho,23
 Luiz Flávio de Oliveira ,24
 Maguielson Lima Barbosa,25
 Marcelo de Lima Henrique  ,26
 Matheus Delgado Candançan,27
 Paulo Belence Alves dos Prazeres Filho,28
 Paulo Cesar Zanovelli,29
 Rafael Rodrigo Klein,30
 Ramon Abatti,31
 Raphael Claus,32
 Rodrigo José Pereira de Lima,33
 Savio Pereira Sampaio,34
 Wagner do Nascimento Magalhães,35
 Wilton Sampaio,36
 Yuri Elino Ferreira da Cruz,37
Adriano Barros,38
Adriano Milczvski,39
Adriano de Carvalho,40
Alexandre Vargas Tavares,41
Alinor Silva da Paixão,42
Alisson Sidnei Furtado,43
Alício Pena Junior,44
Anderson Daronco,45
André Luiz Skettino Policarpo Bento,46
André Luiz de Freitas Castro,47
Antonio Dib Moraes de Sousa,48
Antonio Hora Filho,49
Antonio de Carvalho Schneider,50
Antônio Denival de Morais,51
Antônio Rogério Batista do Prado,52
Arilson Bispo da Anunciação,53
Arnoldo Vasconcelos Figarela,54
Arthur Gomes Rabelo,55
Avelar Rodrigo da Silva,56
Braulio da Silva Machado,57
Bruno Arleu de Araújo,58
Bruno Mota Correia,59
Caio Max Augusto Vieira,60
Carlos Simon,61
Celio Amorim,62
Charles Hebert Cavalcante Ferreira,63
Claudio Francisco Lima e Silva,64
Cleber Wellington Abade,65
Cleisson Veloso Pereira,66
Clever Assunção Gonçalves,67
Cláudio Luciano Mercante Júnior,68
Daniel Nobre Bins,69
Davi de Oliveira Lacerda,70
Denis Ribeiro Serafim,71
Denis da Silva Ribeiro Serafim,72
Devarly Lira do Rosário,73
Dewson Fernando Freitas da Silva,74
Diego Almeida Real,75
Diego Pombo Lopez,76
Djalma José Beltrami Teixeira,77
Domingos de Jesus Viana Filho,78
Douglas Marques Flores,79
Douglas Schwengber,80
Dyorgines Jose Padovani,81
Edilson Ramos da Mata,82
Edina Alves Batista,83
Edivaldo Elias da Silva,84
Edson Espiridião,85
Eduardo Tomaz de Aquino Valadão,86
Elmo Alves Resende Cunha,87
Elvecio Zequetto,88
Emerson Batista da Silva,89
Emerson de Almeida Ferreira,90
Evandro Rogerio Roman,91
Fabrício Neves Corrêa,92
Felipe Duarte Varejão,93
Felipe Fernandes,94
Felipe Gomes da Silva,95
Flavio Rodrigues de Souza,96
Flávio Feijó de Omena,97
Flávio Rodrigues Guerra,98
Francisco Carlos do Nascimento,99
Francisco de Assis Almeida Filho,100
Francisco de Paula dos Santos Silva Neto,101
Franscisco Carlos do Nascimento,102
Frederico Honorato Moreira,103
Fábio Dornelas Calábria,104
Gilberto Rodrigues Castro Junior,105
Giulliano Bozzano,106
Grazianni Maciel Rocha,107
Guilherme Ceretta de Lima,108
Gutemberg de Paula Fonseca,109
Héber Lopes,110
Igor Junior Benevenuto,111
Italo Medeiros de Azevedo,112
Jailson Macedo Freitas,113
Jean Pierre Goncalves Lima,114
Jefferson Ferreira Moraes,115
Jefferson Schmidt,116
Jonathan Benkenstein Pinheiro,117
Jose Mendonça,118
José Caldas de Souza,119
