estadio,label_encoded
Allianz Parque,0
Arena Barueri,1
Arena Condá,2
Arena Fonte Nova,3
Arena Joinville,4
Arena MRV,5
Arena Pantanal,6
Arena da Amazônia,7
Arena da Baixada,8
Arena das Dunas,9
Arena de Pernambuco,10
Arena do Grêmio,11
Campus Realzale Gazteak,12
Estadio Parque Maracaná,13
Estádio Adelmar da Costa Carvalho,14
Estádio Aderbal Ramos da Silva,15
Estádio Alberto Oliveira,16
Estádio Alfredo Jaconi,17
Estádio Alfredo Jaconi ,18
Estádio Antonio Accioly,19
Estádio Beira-Rio,20
Estádio Benedito Teixeira,21
Estádio Brinco de Ouro da Princesa,22
Estádio Bruno José Daniel,23
Estádio Cláudio Moacyr de Azevedo,24
Estádio Cícero Pompeu de Toledo,25
Estádio Doutor Adhemar de Barros,26
Estádio Doutor Osvaldo Texeira Duarte,27
Estádio Durival Britto e Silva,28
Estádio Elmo Serejo Farias,29
Estádio Eládio de Barros Carvalho,30
Estádio Estadual Jornalista Edgar Augusto Proença,31
Estádio Estadual Kléber José de Andrade,32
Estádio Estadual Lourival Baptista,33
Estádio Francisco Stédile,34
Estádio General Sylvio Raulino de Oliveira,35
Estádio General Sílvio Raulino de Oliveira,36
Estádio Giulite Coutinho,37
Estádio Governador João Castelo - Castelão,38
Estádio Governador Magalhães Pinto,39
Estádio Governador Plácido Castelo,40
Estádio Governador Roberto Santos,41
Estádio Heriberto Hülse,42
Estádio Joaquim Henrique Nogueira,43
Estádio Jornalista Mário Filho,44
Estádio José do Rego Maciel,45
Estádio João Cláudio de Vasconcelos Machado,46
Estádio Luso Brasileiro,47
Estádio Major Antônio Couto Pereira,48
Estádio Manoel Barradas,49
Estádio Moisés Lucarelli,50
Estádio Municipal Anacleto Campanella,51
Estádio Municipal Doutor Novelli Júnior,52
Estádio Municipal Eduardo José Farah,53
Estádio Municipal Jacy Scaff,54
Estádio Municipal João Lamego Netto,55
Estádio Municipal Parque do Sabiá,56
Estádio Municipal Paulo Machado de Carvalho,57
Estádio Municipal Radialista Mário Helênio,58
Estádio Nabi Abi Chedid,59
Estádio Nacional de Brasília Mané Garrincha,60
Estádio Olímpico Monumental,61
Estádio Olímpico Nilton Santos,62
Estádio Olímpico Pedro Ludovico Teixeira,63
Estádio Orlando Scarpelli,64
Estádio Paulo Constantino,65
Estádio Presidente Vargas,66
Estádio Raimundo Sampaio,67
Estádio Rei Pelé,68
Estádio Serra Dourada,69
Estádio São Januário,70
Estádio Universitário Pedro Pedrossian,71
Estádio Urbano Caldeira,72
Estádio Vail Chaves,73
Estádio Valmir Campelo Bezerra,74
Estádio de Hailé Pinheiro,75
Estádio do Governo do Estado de Goiás,76
Estádio do Vale,77
Estádio Érton Coelho de Queiroz,78
Ligga Arena,79
MorumBIS,80
Neo Química Arena,81
Neo Química Arena ,82
Pinheirão,83
