tecnico_mandante,label_encoded
Abel Braga,0
Abel Ferreira,1
Abel Ribeiro,2
Adilson Batista,3
Adriano Teixeira,4
Alberto Valentim,5
Alessandro,6
Alexandre Gallo,7
Alexandre Grasseli,8
Anderson Gomes,9
Andrade,10
Andrey Lopes,11
André Jardine,12
Antonio Mohamed,13
Antônio Carlos Zago,14
Antônio Lopes,15
Argel Fucks,16
Armando Evangelista,17
Arthur Neto,18
Artur Jorge,19
Augusto César,20
Bernardo Franco,21
Beto Almeida,22
Bruno Lage,23
Bruno Lazaroni,24
Caio Júnior,25
Carlos Alberto Parreira,26
Carlos Amadeu,27
Cassius Hartmann,28
Cauan Almeida,29
Celso Rodrigues,30
Celso Roth,31
Charles,32
Claudinei Oliveira,33
Claudio Prates,34
Claudiomiro,35
Clemer,36
Cláudio,37
Cláudio Caçapa,38
Cláudio Tencati,39
Coelho,40
Cristóvão Borges,41
Cuca,42
Dado Cavalcanti,43
Daniel Paulista,44
Danny Sérgio,45
Dejan Petkovic,46
Diego Aguirre,47
Diego Cerri,48
Diego Dabove,49
Dimas Filgueiras,50
Diogo Giacomini,51
Domènec Torrent,52
Doriva,53
Dorival Júnior,54
Dunga,55
Edgardo Bauza,56
Edson Pimenta,57
Eduardo Baptista,58
Eduardo Barroca,59
Eduardo Barros,60
Eduardo Coudet,61
Eduardo Souza,62
Elano,63
Emerson Cris,64
Emerson Leão,65
Emiliano Ramón Díaz,66
Enderson Moreira,67
Estephano Neto,68
Estevam Soares,69
Evando,70
Fabiano Soares,71
Fabián Bustos,72
Fabrício Bento,73
Falcão,74
Felipe Endres,75
Felipe Lucena,76
Felipe Moreira,77
Felipe Tigrão,78
Fernando Diniz,79
Fernando Gil,80
Fernando Lázaro,81
Fernando Seabra,82
Fernandão,83
Filipe Luís,84
Flávio Campos,85
Flávio Tenius,86
Fábio Carille,87
Fábio Giuntini,88
Fábio Moreno,89
Gabriel Milito,90
Gaúcho,91
Geninho,92
Giba,93
Gilmar,94
Gilson Kleina,95
Givanildo Oliveira,96
Glauber Ramos,97
Goiano,98
Guilherme Macuglia,99
Gustavo Florentín,100
Gustavo Morínigo,101
Guto Ferreira,102
Hemerson Maria,103
Hernán Crespo,104
Hudson Coutinho,105
Hélio dos Anjos,106
Ivo Vieira,107
Jacozinho,108
Jair Ventura,109
Jairo,110
James Freitas,111
Jayme de Almeida,112
Joel Santana,113
Jorge Fossati,114
Jorge Jesus,115
Jorge Sampaoli,116
Jorginho,117
João Burse,118
João Martins,119
João Paulo Sanches,120
Juan Carlos Osorio,121
Juan Pablo Vojvoda,122
Juca,123
Julinho Camargo,124
Leandro Machado,125
Leandro Niehues,126
Leomir,127
Leonardo Galbes,128
Levi Gomes,129
Levir Culpi,130
Lisca,131
Lori Sandri,132
Lucas Gonçalves,133
Lucas Zanella,134
Lucho González,135
Luis Zubeldía,136
Luiz Felipe Scolari,137
Luiz Fernando Iubel,138
Luizinho Vieira,139
Luís Castro,140
Léo Condé,141
Lúcio Flávio,142
Mano Menezes,143
Marcelo Cabo,144
Marcelo Chamusca,145
Marcelo Fernandes,146
Marcelo Martelotte,147
Marcelo Oliveira,148
Marcelo Rospide,149
Marcelo Salles,150
Marcinho,151
Marcos Paquetá,152
Marcos Valadares,153
Marcão,154
Marquinhos Santos,155
Martín Varini,156
Mauro Fernandes,157
Maurício Barbieri,158
Maurício Souza,159
Miguel Ángel Portugal,160
Miguel Ángel Ramírez,161
Milton Cruz,162
Milton Mendes,163
Muricy Ramalho,164
Márcio Araújo,165
Márcio Bittencourt,166
Márcio Fernandes,167
Márcio Goiano,168
Mário Henrique,169
Mário Jorge,170
Mário Sérgio,171
Narciso,172
Nelsinho Baptista,173
Ney Franco,174
Odair Hellmann,175
Orlando Ribeiro,176
Osmar Loss,177
Oswaldo de Oliveira,178
Pachequinho,179
Paulo Autuori,180
Paulo Bonamigo,181
Paulo César Carpegiani,182
Paulo César Gusmão,183
Paulo Sousa,184
Paulo Turra,185
Pedro Caixinha,186
Pepa,187
Petit,188
Pintado,189
Preto Casagrande,190
Péricles Chamusca,191
Rafael Paiva,192
Ramon Menezes,193
Ramón Díaz,194
Raphael Laruccia,195
Raul Cabral,196
Reinaldo Rueda,197
Renato Gaúcho,198
Renato Paiva,199
Renato Portaluppi,200
Renê Simões,201
Ricardo Colbachini,202
Ricardo Drubscky,203
Ricardo Gareca,204
Ricardo Severo,205
Ricardo Silva,206
Ricardo Sá Pinto,207
Roberto Fernandes,208
Rodrigo Santana,209
Rodrigo Squinalli,210
Roger Machado,211
Rogério Ceni,212
Rogério Lourenço,213
Rogério Micale,214
Saulo Freitas,215
Serginho Chulapa,216
Silas,217
Sylvinho,218
Sérgio Baresi,219
Sérgio Guedes,220
Sérgio Soares,221
Sérgio Vieira,222
Sílvio Criciúma,223
Tcheco,224
Thiago Carpini,225
Thiago Kosloski,226
Thiago Larghi,227
Tiago Nunes,228
Tico dos Santos,229
Tita,230
Tite,231
Toni Oliveira,232
Toninho Cecílio,233
Tuca Guimarães,234
Umberto Louzer,235
Vadão,236
Vagner Mancini,237
Valdir,238
Valdir Espinosa,239
Valteir Gomes,240
Vanderlei Luxemburgo,241
Vinícius Eutrópio,242
Vizolli,243
Vágner Benazzi,244
Vágner Mancini,245
Vítor Pereira,246
Wagner Lopes,247
Waldemar Lemos,248
Wanderley Filho,249
Wesley Carvalho,250
William Batista,251
Zetti,252
Zé Augusto,253
Zé Ricardo,254
Zé Sérgio,255
Zé Teodoro,256
Álvaro Pacheco,257
Émerson Ávila,258
