tecnico_visitante,label_encoded
Abel Braga,0
Abel Ferreira,1
Adilson Batista,2
Adriano Teixeira,3
Alberto Valentim,4
Alessandro,5
Alexander Medina,6
Alexandre Gallo,7
Alexandre Grasseli,8
Anderson Gomes,9
Andrade,10
Andrey Lopes,11
André Jardine,12
Antonio Mohamed,13
Antônio Carlos Zago,14
Antônio Lopes,15
Argel Fucks,16
Armando Evangelista,17
Arthur Neto,18
Artur Jorge,19
Augusto César,20
Bernardo Franco,21
Beto Almeida,22
Bruno Lage,23
Bruno Lazaroni,24
Bruno Lopes,25
Caio Júnior,26
Carlos Alberto Parreira,27
Carlos Martinho,28
Cauan Almeida,29
Celso Rodrigues,30
Celso Roth,31
Charles,32
Claudinei Oliveira,33
Claudio Prates,34
Clemer,35
Cláudio,36
Cláudio Caçapa,37
Cláudio Tencati,38
Coelho,39
Cristóvão Borges,40
Cuca,41
Dado Cavalcanti,42
Daniel Paulista,43
Danilo,44
Danny Sérgio,45
Deivid,46
Dejan Petkovic,47
Diego Aguirre,48
Diego Cerri,49
Diego Dabove,50
Dimas Filgueiras,51
Diogo Giacomini,52
Domènec Torrent,53
Doriva,54
Dorival Júnior,55
Dunga,56
Edgardo Bauza,57
Edson Pimenta,58
Eduardo Baptista,59
Eduardo Barroca,60
Eduardo Barros,61
Eduardo Coudet,62
Eduardo Souza,63
Elano,64
Emerson Cris,65
Emerson Leão,66
Emiliano Ramón Díaz,67
Enderson Moreira,68
Estevam Soares,69
Evando,70
Fabiano Soares,71
Fabián Bustos,72
Fabrício Bento,73
Falcão,74
Felipe Endres,75
Felipe Lucena,76
Felipe Moreira,77
Felipe Tigrão,78
Fernando Diniz,79
Fernando Gil,80
Fernando Seabra,81
Fernandão,82
Filipe Luís,83
Flávio Campos,84
Flávio Tenius,85
Fábio Carille,86
Fábio Giuntini,87
Gabriel Milito,88
Gaúcho,89
Geninho,90
Geraldo Delamore,91
Giba,92
Gilmar,93
Gilson Kleina,94
Givanildo Oliveira,95
Glauber Ramos,96
Goiano,97
Guilherme Macuglia,98
Gustavo Florentín,99
Gustavo Morínigo,100
Guto Ferreira,101
Hemerson Maria,102
Hernán Crespo,103
Hudson Coutinho,104
Hélio dos Anjos,105
Ivo Vieira,106
Jacozinho,107
Jair Ventura,108
Jairo,109
Jayme de Almeida,110
Joel Santana,111
Jorge Fossati,112
Jorge Jesus,113
Jorge Sampaoli,114
Jorginho,115
João Burse,116
João Paulo Sanches,117
Juan Carlos Osorio,118
Juan Pablo Vojvoda,119
Juca,120
Julinho Camargo,121
Leandro Machado,122
Leandro Niehues,123
Levi Gomes,124
Levir Culpi,125
Lisca,126
Lori Sandri,127
Lucas Zanella,128
Lucho González,129
Luis Zubeldía,130
Luiz Felipe Scolari,131
Luiz Fernando Iubel,132
Luizinho Vieira,133
Luís Castro,134
Léo Condé,135
Lúcio Flávio,136
Mano Menezes,137
Marcelo Cabo,138
Marcelo Chamusca,139
Marcelo Fernandes,140
Marcelo Martelotte,141
Marcelo Oliveira,142
Marcelo Rospide,143
Marcelo Salles,144
Marcelo Sangaletti,145
Marcelo Serrano,146
Marcinho,147
Marconne Montenegro,148
Marcos Paquetá,149
Marcos Valadares,150
Marcão,151
Marquinhos Santos,152
Martín Varini,153
Mauro Fernandes,154
Maurício Barbieri,155
Maurício Souza,156
Miguel Ángel Portugal,157
Miguel Ángel Ramírez,158
Milton Cruz,159
Milton Mendes,160
Mozart,161
Muricy Ramalho,162
Márcio Araújo,163
Márcio Bittencourt,164
Márcio Fernandes,165
Márcio Goiano,166
Mário Henrique,167
Mário Jorge,168
Mário Sérgio,169
Nelsinho Baptista,170
Ney Franco,171
Odair Hellmann,172
Orlando Ribeiro,173
Osmar Loss,174
Oswaldo de Oliveira,175
Pachequinho,176
Paulo Autuori,177
Paulo Bonamigo,178
Paulo César Carpegiani,179
Paulo César Gusmão,180
Paulo Sousa,181
Paulo Turra,182
Pedro Caixinha,183
Pepa,184
Petit,185
Pintado,186
Preto Casagrande,187
Péricles Chamusca,188
Rafael Paiva,189
Ramon Menezes,190
Ramón Díaz,191
Raphael Laruccia,192
Raul Cabral,193
Reinaldo Rueda,194
Renato Gaúcho,195
Renato Paiva,196
Renato Portaluppi,197
Renê Simões,198
Ricardo Colbachini,199
Ricardo Drubscky,200
Ricardo Gareca,201
Ricardo Resende,202
Ricardo Silva,203
Ricardo Sá Pinto,204
Roberto Fernandes,205
Robson Gomes,206
Rodrigo Santana,207
Roger Machado,208
Rogério Ceni,209
Rogério Lourenço,210
Rogério Micale,211
Saulo Freitas,212
Silas,213
Sylvinho,214
Sérgio Baresi,215
Sérgio Guedes,216
Sérgio Soares,217
Sérgio Vieira,218
Sílvio Criciúma,219
Tcheco,220
Thiago Carpini,221
Thiago Gomes,222
Thiago Kosloski,223
Thiago Larghi,224
Tiago Nunes,225
Tico dos Santos,226
Tita,227
Tite,228
Toni Oliveira,229
Toninho Cecílio,230
Tuca Guimarães,231
Umberto Louzer,232
Vadão,233
Vagner Mancini,234
Valdir,235
Valdir Espinosa,236
Vanderlei Luxemburgo,237
Vinícius Eutrópio,238
Vizolli,239
Vágner Benazzi,240
Vágner Mancini,241
Vítor Pereira,242
Wagner Lopes,243
Waldemar Lemos,244
Wesley Carvalho,245
William Batista,246
Wilson Vaterkemper,247
Zetti,248
Zé Augusto,249
Zé Ricardo,250
Zé Teodoro,251
Álvaro Pacheco,252
Émerson Ávila,253
