Team,Encoded
Paraná,34
Botafogo,8
Cruzeiro,16
Flamengo,21
Fortaleza,23
Goiás EC,25
Juventude,31
Palmeiras,33
Santos FC,42
Fluminense,22
São Paulo,45
Corinthians,13
Coritiba FC,14
Paysandu SC,35
Ponte Preta,36
Atlético-MG,4
Atlético-PR,5
São Caetano,44
Internacional,28
Vasco da Gama,46
Brasiliense-DF,9
Figueirense FC,20
Grêmio,26
Santa Cruz,39
América-MG,0
Chapecoense,12
EC Vitória,19
Sport Recife,43
Guarani,27
EC Bahia,18
Criciúma EC,15
Avaí FC,6
Joinville-SC,30
Náutico,32
Portuguesa,37
Cuiabá-MT,17
Athletico-PR,2
Atlético-GO,3
RB Bragantino,38
Goiás,24
Santos,41
Ceará SC,11
Barueri,7
Santo André,40
Ipatinga FC,29
CSA,10
América-RN,1
Mirassol,47
Remo,48
