ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,AvgCH,AvgCD,AvgCA
2003,2003-03-29,1.0,Arena da Baixada,,,,5,26,,,,,,,,,2.0,0.0,,,
2003,2003-03-29,1.0,Estádio Brinco de Ouro da Princesa,,,,27,46,,,,,,,,,4.0,2.0,,,
2003,2003-03-30,1.0,Neo Química Arena,,,,13,4,,,,,,,,,0.0,3.0,,,
2003,2003-03-30,1.0,Estádio Heriberto Hülse,,,,15,22,,,,,,,,,2.0,0.0,,,
2003,2003-03-30,1.0,Estádio Governador Magalhães Pinto,,,,16,44,,,,,,,,,2.0,2.0,,,
2003,2003-03-30,1.0,Estádio Manoel Barradas,,,,19,20,,,,,,,,,1.0,1.0,,,
2003,2003-03-30,1.0,Estádio Jornalista Mário Filho,,,,21,14,,,,,,,,,1.0,1.0,,,
2003,2003-03-30,1.0,Estádio Governador Plácido Castelo,,,,23,18,,,,,,,,,0.0,0.0,,,
2003,2003-03-30,1.0,Estádio de Hailé Pinheiro,,,,25,35,,,,,,,,,2.0,2.0,,,
2003,2003-03-30,1.0,Estádio Beira-Rio,,,,28,36,,,,,,,,,1.0,1.0,,,
2003,2003-03-30,1.0,Estádio Alfredo Jaconi,,,,31,45,,,,,,,,,2.0,2.0,,,
2003,2003-03-30,1.0,Estádio Urbano Caldeira,,,,42,34,,,,,,,,,2.0,2.0,,,
2003,2003-04-05,2.0,Estádio Raimundo Sampaio,,,,4,42,,,,,,,,,0.0,0.0,,,
2003,2003-04-05,2.0,Estádio Major Antônio Couto Pereira,,,,14,28,,,,,,,,,0.0,1.0,,,
2003,2003-04-05,2.0,Estádio Jornalista Mário Filho,,,,22,23,,,,,,,,,1.0,1.0,,,
2003,2003-04-05,2.0,Arena do Grêmio,,,,26,27,,,,,,,,,3.0,1.0,,,
2003,2003-04-06,2.0,Arena Fonte Nova,,,,18,21,,,,,,,,,1.0,2.0,,,
2003,2003-04-06,2.0,Estádio Orlando Scarpelli,,,,20,13,,,,,,,,,3.0,3.0,,,
2003,2003-04-06,2.0,Estádio Durival Britto e Silva,,,,34,5,,,,,,,,,3.0,0.0,,,
2003,2003-04-06,2.0,Estádio Estadual Jornalista Edgar Augusto Proença,,,,35,19,,,,,,,,,1.0,2.0,,,
2003,2003-04-06,2.0,Estádio Moisés Lucarelli,,,,36,31,,,,,,,,,1.0,0.0,,,
2003,2003-04-06,2.0,Estádio Municipal Anacleto Campanella,,,,44,15,,,,,,,,,3.0,2.0,,,
2003,2003-04-06,2.0,Estádio Cícero Pompeu de Toledo,,,,45,16,,,,,,,,,2.0,4.0,,,
2003,2003-04-06,2.0,Estádio São Januário,,,,46,25,,,,,,,,,6.0,4.0,,,
2003,2003-04-10,4.0,Estádio Estadual Jornalista Edgar Augusto Proença,,,,35,42,,,,,,,,,2.0,1.0,,,
2003,2003-04-12,3.0,Arena da Baixada,,,,5,4,,,,,,,,,1.0,2.0,,,
2003,2003-04-12,3.0,Neo Química Arena,,,,13,35,,,,,,,,,6.0,1.0,,,
2003,2003-04-12,3.0,Estádio Beira-Rio,,,,28,18,,,,,,,,,2.0,0.0,,,
2003,2003-04-12,3.0,Estádio Urbano Caldeira,,,,42,20,,,,,,,,,2.0,0.0,,,
2003,2003-04-13,3.0,Estádio Heriberto Hülse,,,,15,45,,,,,,,,,1.0,1.0,,,
2003,2003-04-13,3.0,Estádio Governador Magalhães Pinto,,,,16,36,,,,,,,,,3.0,0.0,,,
2003,2003-04-13,3.0,Estádio Manoel Barradas,,,,19,46,,,,,,,,,2.0,1.0,,,
2003,2003-04-13,3.0,Estádio Jornalista Mário Filho,,,,21,22,,,,,,,,,4.0,1.0,,,
2003,2003-04-13,3.0,Estádio Governador Plácido Castelo,,,,23,44,,,,,,,,,1.0,1.0,,,
2003,2003-04-13,3.0,Estádio de Hailé Pinheiro,,,,25,26,,,,,,,,,1.0,1.0,,,
2003,2003-04-13,3.0,Estádio Brinco de Ouro da Princesa,,,,27,34,,,,,,,,,2.0,0.0,,,
2003,2003-04-13,3.0,Estádio Alfredo Jaconi,,,,31,14,,,,,,,,,2.0,1.0,,,
2003,2003-04-17,4.0,Estádio Raimundo Sampaio,,,,4,27,,,,,,,,,3.0,2.0,,,
2003,2003-04-17,4.0,Estádio Major Antônio Couto Pereira,,,,14,16,,,,,,,,,3.0,4.0,,,
2003,2003-04-17,4.0,Arena Fonte Nova,,,,18,31,,,,,,,,,3.0,1.0,,,
2003,2003-04-17,4.0,Estádio Orlando Scarpelli,,,,20,5,,,,,,,,,1.0,1.0,,,
2003,2003-04-17,4.0,Arena do Grêmio,,,,26,19,,,,,,,,,2.0,1.0,,,
